Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,6.07721e-06
1.5,1
1.75,0
2,5.27627e-05
2.25,8.35322e-05
2.5,0.000352259
2.75,0.113935
3,0.285957
3.25,0.333725
3.5,0.000426681
3.75,0.000631202
4,0.50052
4.25,4.32459e-07
4.5,0.000865975
4.75,6.75061e-06
5,0.400182
5.25,0.400037
5.5,0.200358
5.75,0.128113
6,0.25019
6.25,0.111478
6.5,0.000178507
6.75,0.182619
7,0.334428
7.25,8.81216e-06
7.5,0.200129
7.75,0.111863
8,0.000503632
8.25,0.286494
8.5,0.400331
8.75,0.232308
9,0.0912827
9.25,0.000147133
9.5,0.222631
9.75,0.200293
10,0.000935151
10.25,0.000194619
10.5,0.142949
10.75,0.000342952
11,0.214395
11.25,0.000207728
11.5,0.333464
11.75,0.16681
12,0.00103017
12.25,0.300076
12.5,0.000490252
12.75,7.77295e-05
13,0.0668972
13.25,0.200229
13.5,0.000642821
13.75,0.235516
14,0.083498
14.25,0.000593636
14.5,0.052877
14.75,0.176658
15,0.0374196
15.25,0.00174584
15.5,0.0911446
15.75,0.200193
16,0.118
16.25,0.187697
16.5,0.0947105
16.75,0.100409
17,0.250755
17.25,0.296469
17.5,0.126404
17.75,0.0697636
18,0.043736
18.25,0.218096
18.5,0.209154
18.75,0.103261
19,0.160221
19.25,0.226296
19.5,0.30373
19.75,0.148399
20,0.112804
20.25,0.168351
20.5,0.195068
20.75,0.00287015
21,0.119929
21.25,0.0654549
21.5,0.143203
21.75,0.104712
22,0.185618
22.25,0.0610044
22.5,0.228801
22.75,0.278343
23,0.162448
23.25,0.105841
23.5,0.322672
23.75,0.0943567
24,0.214833
24.25,0.195373
24.5,0.264007
24.75,0.226761
25,0.0945925
25.25,0.201224
25.5,0.0624843
25.75,0.140491
26,0.148622
26.25,0.156151
26.5,0.0886513
26.75,0.0804529
27,0.0961912
27.25,0.248297
27.5,0.124403
27.75,0.217704
28,0.0710626
28.25,0.169425
28.5,0.193128
28.75,0.139887
29,0.21728
29.25,0.239325
29.5,0.230239
29.75,0.141513
30,0.23918
30.25,0.300472
30.5,0.102316
30.75,0.186928
31,0.219071
31.25,0.259382
31.5,0.334639
31.75,0.24466
32,0.146833
32.25,0.235592
32.5,0.230948
32.75,0.203975
33,0.13718
33.25,0.187113
33.5,0.220915
33.75,0.204705
34,0.161888
34.25,0.182236
34.5,0.255112
34.75,0.183286
35,0.204959
35.25,0.147023
35.5,0.192028
35.75,0.147515
36,0.101095
36.25,0.175221
36.5,0.204179
36.75,0.216225
37,0.162692
37.25,0.206133
37.5,0.155191
37.75,0.155162
38,0.273151
38.25,0.154848
38.5,0.198326
38.75,0.129511
39,0.0807546
39.25,0.111838
39.5,0.154317
39.75,0.180981
40,0.160127
40.25,0.155838
40.5,0.195971
40.75,0.0941456
41,0.118781
41.25,0.0952134
41.5,0.171935
41.75,0.131097
42,0.100918
42.25,0.141201
42.5,0.194488
42.75,0.112526
43,0.163544
43.25,0.197262
43.5,0.117792
43.75,0.184149
44,0.138072
44.25,0.173545
44.5,0.158212
44.75,0.128437
45,0.14322
45.25,0.155383
45.5,0.185427
45.75,0.193785
46,0.159601
46.25,0.16924
46.5,0.0954481
46.75,0.135681
47,0.171124
47.25,0.129621
47.5,0.160478
47.75,0.162653
48,0.146777
48.25,0.173175
48.5,0.118416
48.75,0.151508
49,0.122207
49.25,0.197377
49.5,0.133958
49.75,0.131448
50,0.173572
50.25,0.157897
50.5,0.171114
50.75,0.181826
51,0.144331
51.25,0.181407
51.5,0.128306
51.75,0.173885
52,0.182931
52.25,0.181471
52.5,0.146383
52.75,0.15788
53,0.166721
53.25,0.172869
53.5,0.152115
53.75,0.141434
54,0.168255
54.25,0.190925
54.5,0.18664
54.75,0.157791
55,0.181638
55.25,0.158558
55.5,0.131321
55.75,0.149306
56,0.137366
56.25,0.140833
56.5,0.190603
56.75,0.158607
57,0.166153
57.25,0.174164
57.5,0.150748
57.75,0.134771
58,0.146962
58.25,0.198077
58.5,0.131884
58.75,0.162063
59,0.14789
59.25,0.156554
59.5,0.143065
59.75,0.148818
60,0.144241
60.25,0.115123
60.5,0.156908
60.75,0.145697
61,0.134724
61.25,0.139693
61.5,0.114318
61.75,0.172733
62,0.154571
62.25,0.164516
62.5,0.142853
62.75,0.144514
63,0.158501
63.25,0.171663
63.5,0.137462
63.75,0.159561
64,0.157235
64.25,0.136846
64.5,0.157489
64.75,0.141728
65,0.157714
65.25,0.165185
65.5,0.155523
65.75,0.170031
66,0.139433
66.25,0.154426
66.5,0.158514
66.75,0.151954
67,0.153051
67.25,0.15124
67.5,0.150433
67.75,0.169014
68,0.1509
68.25,0.159376
68.5,0.162223
68.75,0.145795
69,0.171186
69.25,0.16856
69.5,0.149697
69.75,0.192438
70,0.148552
70.25,0.151472
70.5,0.131073
70.75,0.153224
71,0.144217
71.25,0.148255
71.5,0.146647
71.75,0.148928
72,0.146111
72.25,0.14028
72.5,0.152843
72.75,0.13868
73,0.139372
73.25,0.142696
73.5,0.164974
73.75,0.150661
74,0.143329
74.25,0.1323
74.5,0.149636
74.75,0.130137
75,0.139558
75.25,0.148335
75.5,0.144301
75.75,0.136117
76,0.130672
76.25,0.146915
76.5,0.158078
76.75,0.147065
77,0.14609
77.25,0.145054
77.5,0.151739
77.75,0.15723
78,0.142036
78.25,0.143533
78.5,0.152229
78.75,0.141234
79,0.14262
79.25,0.154167
79.5,0.141269
79.75,0.145437
80,0.15557
80.25,0.147201
80.5,0.159488
80.75,0.152564
81,0.145049
81.25,0.148887
81.5,0.142819
81.75,0.138253
82,0.140579
82.25,0.149691
82.5,0.136648
82.75,0.153619
83,0.155049
83.25,0.15603
83.5,0.147893
83.75,0.154154
84,0.142822
84.25,0.140837
84.5,0.149613
84.75,0.144307
85,0.159587
85.25,0.145073
85.5,0.154176
85.75,0.147422
86,0.147308
86.25,0.145795
86.5,0.151255
86.75,0.152676
87,0.152506
87.25,0.151538
87.5,0.153871
87.75,0.15596
88,0.15212
88.25,0.141695
88.5,0.149233
88.75,0.15542
89,0.146561
89.25,0.149266
89.5,0.148727
89.75,0.159302
90,0.161582
90.25,0.166885
90.5,0.164757
90.75,0.15469
91,0.164698
91.25,0.155617
91.5,0.144855
91.75,0.153489
92,0.156157
92.25,0.153419
92.5,0.156697
92.75,0.14985
93,0.14381
93.25,0.158255
93.5,0.159937
93.75,0.166138
94,0.152262
94.25,0.158118
94.5,0.16251
94.75,0.15766
95,0.16083
95.25,0.153535
95.5,0.156673
95.75,0.157143
96,0.157102
96.25,0.151308
96.5,0.161042
96.75,0.161007
97,0.167074
97.25,0.163926
97.5,0.169249
97.75,0.164256
98,0.172166
98.25,0.162465
98.5,0.169404
98.75,0.164649
99,0.170977
99.25,0.163752
99.5,0.163461
99.75,0.166085
100,0.165205
100.25,0.165676
100.5,0.158539
100.75,0.162862
101,0.169337
101.25,0.162839
101.5,0.16181
101.75,0.168888
102,0.166052
102.25,0.156552
102.5,0.174404
102.75,0.169199
103,0.176815
103.25,0.17644
103.5,0.174491
103.75,0.160653
104,0.174883
104.25,0.17463
104.5,0.159794
104.75,0.17624
105,0.171416
105.25,0.163516
105.5,0.161264
105.75,0.16476
106,0.183757
106.25,0.165397
106.5,0.174723
106.75,0.180714
107,0.177988
107.25,0.174774
107.5,0.177263
107.75,0.17776
108,0.171144
108.25,0.170748
108.5,0.180265
108.75,0.182658
109,0.174565
109.25,0.183753
109.5,0.194588
109.75,0.17992
110,0.188791
110.25,0.182278
110.5,0.184437
110.75,0.193845
111,0.18424
111.25,0.187902
111.5,0.187158
111.75,0.183786
112,0.188856
112.25,0.187719
112.5,0.19752
112.75,0.187466
113,0.190204
113.25,0.179694
113.5,0.18803
113.75,0.195984
114,0.187457
114.25,0.182284
114.5,0.183446
114.75,0.202244
115,0.187901
115.25,0.189108
115.5,0.184741
115.75,0.189546
116,0.184862
116.25,0.190982
116.5,0.17949
116.75,0.211812
117,0.177377
117.25,0.185016
117.5,0.185769
117.75,0.175797
118,0.203752
118.25,0.19599
118.5,0.201243
118.75,0.197994
119,0.197254
119.25,0.210682
119.5,0.20545
119.75,0.192505
120,0.201332
120.25,0.195842
120.5,0.182841
120.75,0.20721
121,0.201779
121.25,0.202546
121.5,0.185817
121.75,0.212892
122,0.214073
122.25,0.214429
122.5,0.213079
122.75,0.20194
123,0.21287
123.25,0.203039
123.5,0.202725
123.75,0.224752
124,0.216158
124.25,0.202576
124.5,0.215281
124.75,0.205388
125,0.224735
125.25,0.216463
125.5,0.218203
125.75,0.186114
126,0.21745
126.25,0.212307
126.5,0.216252
126.75,0.210386
127,0.216576
127.25,0.209123
127.5,0.221803
127.75,0.194835
128,0.209919
128.25,0.230063
128.5,0.20671
128.75,0.231566
129,0.22667
129.25,0.2173
129.5,0.210823
129.75,0.21384
130,0.220475
130.25,0.206132
130.5,0.226165
130.75,0.22954
131,0.231415
131.25,0.212286
131.5,0.228867
131.75,0.207633
132,0.231542
132.25,0.236785
132.5,0.219882
132.75,0.202832
133,0.212693
133.25,0.209723
133.5,0.212807
133.75,0.213462
134,0.236776
134.25,0.2274
134.5,0.225945
134.75,0.2077
135,0.227771
135.25,0.203667
135.5,0.211359
135.75,0.220706
136,0.233152
136.25,0.229753
136.5,0.24669
136.75,0.213949
137,0.242263
137.25,0.22366
137.5,0.238115
137.75,0.223241
138,0.241883
138.25,0.216978
138.5,0.217311
138.75,0.206928
139,0.224653
139.25,0.241557
139.5,0.225888
139.75,0.231403
140,0.235942
140.25,0.264149
140.5,0.246226
140.75,0.228758
141,0.230032
141.25,0.217523
141.5,0.216137
141.75,0.240163
142,0.254919
142.25,0.230781
142.5,0.238019
142.75,0.221786
143,0.197074
143.25,0.217908
143.5,0.220412
143.75,0.230825
144,0.221013
144.25,0.245006
144.5,0.228711
144.75,0.247331
145,0.207389
145.25,0.224103
145.5,0.256681
145.75,0.221037
146,0.225216
146.25,0.230134
146.5,0.222238
146.75,0.278345
147,0.203143
147.25,0.241234
147.5,0.211759
147.75,0.202618
148,0.231818
148.25,0.247573
148.5,0.217837
148.75,0.273053
149,0.22811
149.25,0.218293
149.5,0.239883
149.75,0.257395
150,0.262071
150.25,0.235949
150.5,0.219533
150.75,0.257065
151,0.252949
151.25,0.282478
151.5,0.249431
151.75,0.223424
152,0.218656
152.25,0.251851
152.5,0.26976
152.75,0.255779
153,0.229666
153.25,0.275562
153.5,0.214885
153.75,0.234186
154,0.209073
154.25,0.169186
154.5,0.24841
154.75,0.268185
155,0.255663
155.25,0.168919
155.5,0.235106
155.75,0.262487
156,0.204756
156.25,0.243984
156.5,0.141967
156.75,0.243457
157,0.274655
157.25,0.213186
157.5,0.280427
157.75,0.318323
158,0.163467
158.25,0.242865
158.5,0.220616
158.75,0.265542
159,0.25167
159.25,0.254513
159.5,0.269093
159.75,0.179338
160,0.235067
160.25,0.219804
160.5,0.26692
160.75,0.275414
161,0.161854
161.25,0.241063
161.5,0.312649
161.75,0.327855
162,0.289894
162.25,0.25753
162.5,0.220783
162.75,0.25063
163,0.282704
163.25,0.185823
163.5,0.195574
163.75,0.288624
164,0.31647
164.25,0.257801
164.5,0.226656
164.75,0.228686
165,0.223325
165.25,0.223281
165.5,0.351923
165.75,0.294187
166,0.250471
166.25,0.190272
166.5,0.234042
166.75,0.293174
167,0.172381
167.25,0.239438
167.5,0.419595
167.75,0.223154
168,0.274404
168.25,0.129359
168.5,0.236188
168.75,0.257526
169,0.303232
169.25,0.183418
169.5,0.218728
169.75,0.170223
170,0.22516
170.25,0.181385
170.5,0.192704
170.75,0.290038
171,0.374533
171.25,0.1824
171.5,0.2197
171.75,0.208142
172,0.23439
172.25,0.205985
172.5,0.28199
172.75,0.21325
173,0.20368
173.25,0.256745
173.5,0.304189
173.75,0.189211
174,0.200061
174.25,0.330419
174.5,0.195756
174.75,0.230397
175,0.321293
175.25,0.27707
175.5,0.167631
175.75,0.274361
176,0.400165
176.25,0.374671
176.5,0.186708
176.75,0.194721
177,0.213683
177.25,0.300078
177.5,0.267933
177.75,0.22918
178,0.225976
178.25,0.219022
178.5,0.15958
178.75,0.349635
179,0.126369
179.25,0.0968373
179.5,0.235027
179.75,0.190144
180,0.144491
180.25,0.213309
180.5,0.296319
180.75,0.271942
181,0.311327
181.25,0.205453
181.5,0.229666
181.75,0.352164
182,0.022462
182.25,0.221293
182.5,0.201913
182.75,0.149415
183,0.424445
183.25,0.213664
183.5,0.00169719
183.75,0.144964
184,0.291918
184.25,0.263124
184.5,0.209957
184.75,0.214715
185,0.306673
185.25,0.0466854
185.5,0.0865802
185.75,0.294222
186,0.301306
186.25,0.321429
186.5,0.413185
186.75,0.0800002
187,0.251799
187.25,0.263691
187.5,0.337412
187.75,0.420402
188,0.215434
188.25,0.10969
188.5,0.251071
188.75,0.501326
189,0.298951
189.25,0.287971
189.5,0.555844
189.75,0.11191
190,0.0590488
190.25,0.297968
190.5,0.144925
190.75,0.143514
191,0.251483
191.25,0.428819
191.5,0.215095
191.75,0.375718
192,0.418428
192.25,0.500117
192.5,0.201835
192.75,0.250164
193,0.30162
193.25,0.216025
193.5,0.269399
193.75,0.286391
194,0.143167
194.25,0.25188
194.5,0.461853
194.75,0.338745
195,0.12542
195.25,0.22245
195.5,0.666682
195.75,0.401515
196,0.168231
196.25,0.16803
196.5,0.111883
196.75,0.57185
197,0.400033
197.25,0.286547
197.5,0.200273
197.75,0.250456
198,0.000138963
198.25,0.50004
198.5,0.00138894
198.75,0.400713
199,0.000739714
199.25,0.250336
199.5,0.25055
199.75,1.08013e-05
200,7.46328e-05
200.25,6.44352e-05
200.5,0.000311786
200.75,0.000874377
201,0.667499
201.25,0.000328416
201.5,0.000134193
201.75,0.00236867
202,0.0911115
202.25,0.333601
202.5,0.500136
202.75,0.000360175
203,0.333433
203.25,9.53987e-05
203.5,0.500056
203.75,0.333382
204,0.5008
204.25,0.017012
204.5,0.358086
204.75,0.500001
205,1
205.25,0.000221195
205.5,0.375388
205.75,1
206,0.000382315
206.25,0
206.5,9.62695e-05
206.75,0.400183
207,3.07234e-05
207.25,1
207.5,3.6451e-05
207.75,0.333374
208,3.61338e-05
208.25,7.40581e-05
208.5,0.333497
208.75,0.600018
209,1.37634e-05
209.25,0.3348
209.5,1.09571e-05
209.75,0.500162
210,0.000195265
210.25,0.500029
210.5,0.500112
210.75,0.00032867
211,0.333403
211.25,0.000161313
211.5,0.000388346
211.75,1.35487e-05
212,1
212.25,0.400032
212.5,0.666678
212.75,4.44032e-05
213,2.37623e-05
213.25,1.11281e-05
213.5,0.200016
213.75,0.166716
214,0
214.25,0
214.5,0.500004
214.75,1.13999e-05
215,2.86001e-05
215.25,0.500191
215.5,0.333351
